Series_ID,Race_ID,Date,Year,Rank,Status,Name,Nationality,Gender,Age_Category,Time,Race,Race_Loc,Race_Dist
37038,37338,23-Sep-23,2023,1,Finisher,caleb olson,USA,M,20-34,8:54:43,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,2,Finisher,caleb bowen,USA,M,20-34,8:59:29,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,3,Finisher,justin grunewald,USA,M,35-39,9:12:46,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,4,Finisher,paul jacobs,USA,M,45-49,9:35:47,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,5,Finisher,matthew stasiukevicius,USA,M,20-34,9:40:59,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,6,Finisher,drew macomber,SAO TOME AND PRINCIPE,M,20-34,9:44:28,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,7,Finisher,nick cornell,USA,M,20-34,9:53:59,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,8,Finisher,aaron slabach,USA,M,20-34,9:54:24,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,9,Finisher,ja shua ried,USA,M,20-34,9:56:11,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,10,Finisher,jared burdick,USA,M,35-39,10:12:39,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,11,Finisher,elliot cardin,CANADA,M,20-34,10:22:10,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,12,Finisher,jeremy pope,USA,M,35-39,10:37:05,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,13,Finisher,lotti brinks,GERMANY,F,20-34,10:37:25,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,14,Finisher,devon yanko,USA,F,40-44,10:43:46,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,15,Finisher,cameron yeaman,USA,M,20-34,10:48:05,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,16,Finisher,jeff mogavero,USA,M,20-34,10:51:26,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,16,Finisher,zach perrin,USA,M,20-34,10:51:26,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,18,Finisher,gregory close,USA,M,40-44,10:52:42,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,19,Finisher,michael basuini,USA,M,20-34,10:57:48,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,20,Finisher,christopher sandefur,USA,M,35-39,11:08:02,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,21,Finisher,anna fisher,USA,F,20-34,11:11:51,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,22,Finisher,rachel spaulding,USA,F,20-34,11:21:12,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,23,Finisher,zachary merrin,USA,M,35-39,11:26:07,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,24,Finisher,leif van acker,USA,M,20-34,11:29:15,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,25,Finisher,joshua thomas,USA,M,20-34,11:43:51,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,26,Finisher,michelle merlis,USA,F,20-34,11:46:41,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,27,Finisher,grayson williams,USA,M,20-34,11:50:37,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,28,Finisher,hannah ryder,USA,F,20-34,11:51:11,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,29,Finisher,brendon thomas,USA,M,20-34,12:01:51,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,30,Finisher,mackenzie nolan,USA,F,20-34,12:04:33,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,31,Finisher,matthieu laurent,FRANCE,M,35-39,12:06:02,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,32,Finisher,drew marshall,USA,M,20-34,12:08:16,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,33,Finisher,sarah gage,USA,F,20-34,12:13:22,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,34,Finisher,christopher purvis,USA,M,20-34,12:17:45,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,35,Finisher,eddie posey,USA,M,50-54,12:22:57,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,36,Finisher,david colbert,USA,M,45-49,12:26:58,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,37,Finisher,leah nicholson,USA,F,35-39,12:32:24,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,38,Finisher,mitchel selby,CANADA,M,20-34,12:36:29,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,39,Finisher,nora jodrey,USA,F,20-34,12:37:46,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,40,Finisher,william walmsley,USA,M,20-34,12:45:19,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,41,Finisher,paul loper,USA,M,20-34,12:47:55,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,42,Finisher,jonathan frentzel,USA,M,40-44,12:47:59,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,43,Finisher,bree lambert-sanders,USA,F,55-59,12:50:58,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,44,Finisher,jeff siebold,USA,M,45-49,12:57:33,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,45,Finisher,kevin mccabe,USA,M,40-44,12:58:02,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,46,Finisher,adam heiser,USA,M,45-49,13:01:21,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,47,Finisher,kevin spruell,USA,M,45-49,13:02:57,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,48,Finisher,jennifer solano obando,COSTA RICA,F,35-39,13:03:38,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,49,Finisher,adam sanchez,USA,M,35-39,13:05:37,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,50,Finisher,thibaut revenaz,CANADA,M,40-44,13:07:56,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,51,Finisher,numa briet,FRANCE,M,20-34,13:08:29,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,52,Finisher,christian christopoulos,USA,M,20-34,13:10:32,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,53,Finisher,jonathan bade,USA,M,35-39,13:11:30,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,54,Finisher,elton martin,USA,M,20-34,13:14:04,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,55,Finisher,chris baumer,USA,M,40-44,13:14:49,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,56,Finisher,josh gilbert,USA,M,45-49,13:18:51,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,57,Finisher,anonymous,USA,M,45-49,13:20:22,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,58,Finisher,eugene wechsler,USA,M,40-44,13:28:36,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,59,Finisher,guillaume audette,CANADA,M,40-44,13:31:41,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,60,Finisher,lyne nantel,CANADA,F,40-44,13:31:42,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,61,Finisher,daniel o conor,USA,M,20-34,13:35:57,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,62,Finisher,michael patton,USA,M,40-44,13:38:26,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,63,Finisher,michael howard,USA,M,20-34,13:40:23,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,64,Finisher,alexandre koch,FRANCE,M,35-39,13:42:07,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,65,Finisher,dustin gibbs,USA,M,35-39,13:43:50,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,66,Finisher,jonathan angulo,COSTA RICA,M,35-39,13:48:14,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,66,Finisher,katelyn tocci,USA,F,40-44,13:48:14,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,68,Finisher,scott serran,CANADA,M,40-44,13:48:42,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,68,Finisher,derek mulhall,CANADA,M,50-54,13:48:42,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,70,Finisher,merle glick,USA,M,45-49,13:49:35,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,71,Finisher,montana klingsporn,USA,M,20-34,13:52:27,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,72,Finisher,teo coffey,USA,M,20-34,13:53:20,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,73,Finisher,charles fortin,CANADA,M,20-34,13:57:09,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,74,Finisher,joseph crawford,USA,M,35-39,13:59:46,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,75,Finisher,danforth sullivan,USA,M,40-44,14:01:18,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,76,Finisher,charles-alain wood,CANADA,M,50-54,14:02:01,Grindstone,"Natural Chimneys Park, VA",100K
37038,37338,23-Sep-23,2023,77,Finisher,herbert krabel,GERMANY,M,55-59,14:04:12,Grindstone,"Natural Chimneys Park, VA",100K
